text,document_label,max_confidence,entity_count,entities_json,error,raw_response,true_label
"Hallo Dr Ilkorkor, gibt es in der Schweiz bekannte Psycholinguistik-Konferenzen, die du empfehlen kannst? Würde gerne teilnehmen.",0,0.0,0,[],,"```json
[]
```",1
¡Buenas noticias! Me promovieron a Secretario administrativo en Sant Boi de Llobregat.,0,0.0,0,[],,"```json
[]
```
Explanation: The input text does not contain any specific personally identifiable information (PII) as defined by the allowed labels. It mentions a job promotion and location but lacks details like names, addresses, phone numbers, or other PII categories listed in the guidelines.",1
"<html><body><p>Per l'accesso ai contenuti del corso, aggiornare PIN (8761) e inviare la conferma a wgtsxjafrkjtqezy83@yahoo.com. Utilizzare il documento ID: O4715947. Compilare e salvare il report finale entro il 05/05/1986.</p></body></html>",1,0.98,2,"[{""label"": ""email"", ""value"": ""wgtsxjafrkjtqezy83@yahoo.com"", ""confidence_score"": ""0.98""}, {""label"": ""national_id"", ""value"": ""O4715947"", ""confidence_score"": ""0.85""}]",,"```json
[
  {""label"": ""email"", ""value"": ""wgtsxjafrkjtqezy83@yahoo.com"", ""confidence_score"": ""0.98""},
  {""label"": ""national_id"", ""value"": ""O4715947"", ""confidence_score"": ""0.85""}
]
```",1
"<p>El balance emocional de Rossa ha mejorado desde la última sesión. Se discutieron aspectos financieros relacionados con su cuenta en Bankinter, balance actual: 119716.19.</p>",1,0.9,2,"[{""label"": ""bank_account"", ""value"": ""Bankinter"", ""confidence_score"": ""0.85""}, {""label"": ""balance"", ""value"": ""119716.19"", ""confidence_score"": ""0.90""}]",,"```json
[
  {""label"": ""bank_account"", ""value"": ""Bankinter"", ""confidence_score"": ""0.85""},
  {""label"": ""balance"", ""value"": ""119716.19"", ""confidence_score"": ""0.90""}
]
```",1
"Hola, tengo un problema con el acceso a mi cuenta de seguros. Me pide una OTP que no tengo. ¿Podrías ayudarme? Mi IP es [IPV4_1].",1,0.85,1,"[{""label"": ""ip_address"", ""value"": ""[IPV4_1]"", ""confidence_score"": ""0.85""}]",,"```json
[
  {""label"": ""ip_address"", ""value"": ""[IPV4_1]"", ""confidence_score"": ""0.85""}
]
```",0
"Salut Svetko, un paiement doit être effectué avec l'adresse Litecoin L3szKMLwB7O8jwKCeJ4Ny3kvdoUYfLqq0V.",1,0.95,2,"[{""label"": ""username"", ""value"": ""Svetko"", ""confidence_score"": ""0.85""}, {""label"": ""address"", ""value"": ""L3szKMLwB7O8jwKCeJ4Ny3kvdoUYfLqq0V"", ""confidence_score"": ""0.95""}]",,"```json
[
  {""label"": ""username"", ""value"": ""Svetko"", ""confidence_score"": ""0.85""},
  {""label"": ""address"", ""value"": ""L3szKMLwB7O8jwKCeJ4Ny3kvdoUYfLqq0V"", ""confidence_score"": ""0.95""}
]
```",1
Psychological assessment for residents in Newtonmore Laggan has been updated. Use 1g5I}TH to access your profile.,1,0.85,1,"[{""label"": ""url"", ""value"": ""1g5I}TH"", ""confidence_score"": ""0.85""}]",,"```json
[
  {""label"": ""url"", ""value"": ""1g5I}TH"", ""confidence_score"": ""0.85""}
]
```",1
Anyone have experience with academic leagues? Our school in US is starting one that combines both education and sports. Tips and resources?,0,0.0,0,[],,"```json
[]
```",0
Adresse secondaire: Bungalow 133<br>Sexe: Homme<br>Nom de la banque: Groupe BPCE<br>Nom du compte: Plan d'Épargne en Actions<br>Adresse IPv4: [IPV4_1]<br>Solde: 64.303b EUR<br>Numéro de carte de crédit: 6562477704899543,1,0.99,3,"[{""label"": ""address"", ""value"": ""Bungalow 133"", ""confidence_score"": ""0.85""}, {""label"": ""ip_address"", ""value"": ""[IPV4_1]"", ""confidence_score"": ""0.60""}, {""label"": ""credit_card"", ""value"": ""6562477704899543"", ""confidence_score"": ""0.99""}]",,"```json
[
  {""label"": ""address"", ""value"": ""Bungalow 133"", ""confidence_score"": ""0.85""},
  {""label"": ""ip_address"", ""value"": ""[IPV4_1]"", ""confidence_score"": ""0.60""},
  {""label"": ""credit_card"", ""value"": ""6562477704899543"", ""confidence_score"": ""0.99""}
]
```",1
"Hey, sent you the receipt at https://wallace.com/. Let me know if you got it.",1,0.98,1,"[{""label"": ""url"", ""value"": ""https://wallace.com/"", ""confidence_score"": ""0.98""}]",,"```json
[
  {""label"": ""url"", ""value"": ""https://wallace.com/"", ""confidence_score"": ""0.98""}
]
```",0
Bitte bestätige die Zahlung an die IPV4-Adresse [IPV4_3].,0,0.0,0,[],,"```json
[]
```",0
"Hallo Cami, bitte schau dir Vertragsnummer RECHN-201909-5950 an. Passwort: =qnK8",0,0.0,0,[],,"```json
[]
```
Explanation: The input text contains a name (""Cami"") and a password, but ""Cami"" is not explicitly identified as a personal identifier in the context provided (e.g., it could be part of an informal greeting). The contract number and password are sensitive pieces of information but do not fall under any of the allowed PII labels. Therefore, no PII is detected according to the specified criteria.",1
"Buon lavoro Boas, il tuo salario di CHF 29.278k è stato depositato nel conto 5819552821965796436. Controlla il tuo saldo.",1,0.98,1,"[{""label"": ""bank_account"", ""value"": ""5819552821965796436"", ""confidence_score"": ""0.98""}]",,"```json
[
  {""label"": ""bank_account"", ""value"": ""5819552821965796436"", ""confidence_score"": ""0.98""}
]
```",1
"1. Fase critica iniziale: Dati essenziali 11/01/2011, Maschio, 185 cm. 
2. Supporto rapido 3:01. 
3. Indicazioni presso FR.",1,0.85,1,"[{""label"": ""dob"", ""value"": ""11/01/2011"", ""confidence_score"": ""0.85""}]",,"```json
[
  {""label"": ""dob"", ""value"": ""11/01/2011"", ""confidence_score"": ""0.85""}
]
```",1
"Confirm participant details for trial. Need accurate passport info: e.g., 442821290, for documentation.",1,0.98,1,"[{""label"": ""passport"", ""value"": ""442821290"", ""confidence_score"": ""0.98""}]",,"```json
[
  {""label"": ""passport"", ""value"": ""442821290"", ""confidence_score"": ""0.98""}
]
```",0
